Date,YearMonth,URL,Primary_Search_Intent,SEMrush_Best_Position,Tracked_Keywords_Count,Total_Keyword_Search_Volume,GSC_Position,Impressions,Clicks,CTR,Completed_Orders,Revenue,Revenue_Per_Click,Conversion_Rate_%,MoM_Revenue_Growth_%
2024-11-09,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.7,326,20,0.0613,1,131.51,6.58,5.0,13.64
2024-11-10,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.6,314,17,0.0541,0,0.0,0.0,0.0,13.64
2024-11-11,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.3,291,19,0.0653,0,0.0,0.0,0.0,13.64
2024-11-12,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,7.4,292,19,0.0651,1,140.31,7.38,5.26,13.64
2024-11-13,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.0,294,22,0.0748,0,0.0,0.0,0.0,13.64
2024-11-14,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.4,326,6,0.0184,2,273.56,45.59,33.33,13.64
2024-11-15,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.6,259,16,0.0618,0,0.0,0.0,0.0,13.64
2024-11-16,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.3,274,8,0.0292,0,0.0,0.0,0.0,13.64
2024-11-17,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.3,272,14,0.0515,0,0.0,0.0,0.0,13.64
2024-11-18,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.3,280,12,0.0429,0,0.0,0.0,0.0,13.64
2024-11-19,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.8,332,14,0.0422,0,0.0,0.0,0.0,13.64
2024-11-20,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.7,276,11,0.0399,0,0.0,0.0,0.0,13.64
2024-11-21,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.8,299,7,0.0234,1,135.32,19.33,14.29,13.64
2024-11-22,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.6,318,13,0.0409,1,144.33,11.1,7.69,13.64
2024-11-23,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.1,345,11,0.0319,0,0.0,0.0,0.0,13.64
2024-11-24,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.7,359,13,0.0362,0,0.0,0.0,0.0,13.64
2024-11-25,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.7,277,20,0.0722,0,0.0,0.0,0.0,13.64
2024-11-26,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.4,345,19,0.0551,1,133.92,7.05,5.26,13.64
2024-11-27,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.5,363,19,0.0523,0,0.0,0.0,0.0,13.64
2024-11-28,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.2,329,15,0.0456,1,130.04,8.67,6.67,13.64
2024-11-29,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,6.1,311,15,0.0482,0,0.0,0.0,0.0,13.64
2024-11-30,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.5,309,11,0.0356,0,0.0,0.0,0.0,13.64
2024-12-01,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.2,292,12,0.0411,1,140.89,11.74,8.33,36.35
2024-12-02,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.8,301,5,0.0166,0,0.0,0.0,0.0,36.35
2024-12-03,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.8,377,11,0.0292,0,0.0,0.0,0.0,36.35
2024-12-04,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.9,301,12,0.0399,1,155.02,12.92,8.33,36.35
2024-12-05,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,6.1,285,14,0.0491,0,0.0,0.0,0.0,36.35
2024-12-06,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,7.1,312,10,0.0321,0,0.0,0.0,0.0,36.35
2024-12-07,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.8,356,19,0.0534,0,0.0,0.0,0.0,36.35
2024-12-08,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.8,300,19,0.0633,0,0.0,0.0,0.0,36.35
2024-12-09,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.7,334,19,0.0569,0,0.0,0.0,0.0,36.35
2024-12-10,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.4,357,16,0.0448,0,0.0,0.0,0.0,36.35
2024-12-11,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.5,386,14,0.0363,0,0.0,0.0,0.0,36.35
2024-12-12,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,5.1,398,12,0.0302,0,0.0,0.0,0.0,36.35
2024-12-13,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.3,297,8,0.0269,0,0.0,0.0,0.0,36.35
2024-12-14,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.2,344,11,0.032,1,130.52,11.87,9.09,36.35
2024-12-15,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.4,368,22,0.0598,1,131.53,5.98,4.55,36.35
2024-12-16,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.1,301,11,0.0365,0,0.0,0.0,0.0,36.35
2024-12-17,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.5,384,9,0.0234,1,150.0,16.67,11.11,36.35
2024-12-18,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.3,329,10,0.0304,0,0.0,0.0,0.0,36.35
2024-12-19,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,7.3,407,14,0.0344,0,0.0,0.0,0.0,36.35
2024-12-20,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.4,416,17,0.0409,0,0.0,0.0,0.0,36.35
2024-12-21,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,5.2,343,13,0.0379,2,265.09,20.39,15.38,36.35
2024-12-22,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.9,328,14,0.0427,0,0.0,0.0,0.0,36.35
2024-12-23,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.0,345,10,0.029,1,154.93,15.49,10.0,36.35
2024-12-24,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.3,394,19,0.0482,1,128.66,6.77,5.26,36.35
2024-12-25,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.9,411,16,0.0389,0,0.0,0.0,0.0,36.35
2024-12-26,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.3,335,14,0.0418,0,0.0,0.0,0.0,36.35
2024-12-27,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.3,408,23,0.0564,0,0.0,0.0,0.0,36.35
2024-12-28,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.1,425,9,0.0212,0,0.0,0.0,0.0,36.35
2024-12-29,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.8,360,11,0.0306,0,0.0,0.0,0.0,36.35
2024-12-30,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.5,379,25,0.066,1,146.76,5.87,4.0,36.35
2024-12-31,2024-12,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.1,403,16,0.0397,1,123.5,7.72,6.25,36.35
2025-01-01,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.1,420,15,0.0357,1,153.43,10.23,6.67,2.94
2025-01-02,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.2,377,16,0.0424,0,0.0,0.0,0.0,2.94
2025-01-03,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.2,339,18,0.0531,1,154.79,8.6,5.56,2.94
2025-01-04,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.4,438,26,0.0594,0,0.0,0.0,0.0,2.94
2025-01-05,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.9,392,21,0.0536,0,0.0,0.0,0.0,2.94
2025-01-06,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.0,369,13,0.0352,0,0.0,0.0,0.0,2.94
2025-01-07,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.9,372,14,0.0376,2,248.58,17.76,14.29,2.94
2025-01-08,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.7,360,11,0.0306,0,0.0,0.0,0.0,2.94
2025-01-09,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.6,374,25,0.0668,0,0.0,0.0,0.0,2.94
2025-01-10,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,5.7,400,28,0.07,0,0.0,0.0,0.0,2.94
2025-01-11,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.2,408,24,0.0588,0,0.0,0.0,0.0,2.94
2025-01-12,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.1,458,26,0.0568,0,0.0,0.0,0.0,2.94
2025-01-13,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,7.3,414,15,0.0362,0,0.0,0.0,0.0,2.94
2025-01-14,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.6,439,23,0.0524,1,130.6,5.68,4.35,2.94
2025-01-15,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.3,408,17,0.0417,1,147.63,8.68,5.88,2.94
2025-01-16,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,6.2,464,22,0.0474,2,297.15,13.51,9.09,2.94
2025-01-17,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.1,481,10,0.0208,0,0.0,0.0,0.0,2.94
2025-01-18,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,6.1,465,10,0.0215,0,0.0,0.0,0.0,2.94
2025-01-19,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.4,394,22,0.0558,0,0.0,0.0,0.0,2.94
2025-01-20,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.6,389,8,0.0206,0,0.0,0.0,0.0,2.94
2025-01-21,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,16.8,400,27,0.0675,1,149.35,5.53,3.7,2.94
2025-01-22,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,7.3,442,26,0.0588,0,0.0,0.0,0.0,2.94
2025-01-23,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,3.8,402,13,0.0323,0,0.0,0.0,0.0,2.94
2025-01-24,2025-01,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,4.7,380,18,0.0474,0,0.0,0.0,0.0,2.94
